Model,MDO4104C
Firmware Version,1.10

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.001
Horizontal Delay,0
Sample Interval,1e-06
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,12.2192
Vertical Scale,0.001
Vertical Position,5
,
,
,
Label,
TIME,CH1
-4.255e-03,12.213
-4.254e-03,12.2132
-4.253e-03,12.2129
-4.252e-03,12.2132
-4.251e-03,12.213
-4.250e-03,12.2131
-4.249e-03,12.2132
-4.248e-03,12.213
-4.247e-03,12.213
-4.246e-03,12.2131
-4.245e-03,12.2131
-4.244e-03,12.213
-4.243e-03,12.213
-4.242e-03,12.2132
-4.241e-03,12.2131
-4.240e-03,12.2131
-4.239e-03,12.2134
-4.238e-03,12.2133
-4.237e-03,12.2132
-4.236e-03,12.213
-4.235e-03,12.2133
-4.234e-03,12.2131
-4.233e-03,12.2133
-4.232e-03,12.213
-4.231e-03,12.2133
-4.230e-03,12.2133
-4.229e-03,12.213
-4.228e-03,12.213
-4.227e-03,12.2132
-4.226e-03,12.2133
-4.225e-03,12.2132
-4.224e-03,12.2132
-4.223e-03,12.2132
-4.222e-03,12.2127
-4.221e-03,12.213
-4.220e-03,12.2129
-4.219e-03,12.2128
-4.218e-03,12.2128
-4.217e-03,12.2128
-4.216e-03,12.213
-4.215e-03,12.2129
-4.214e-03,12.2132
-4.213e-03,12.2133
-4.212e-03,12.2134
-4.211e-03,12.213
-4.210e-03,12.2133
-4.209e-03,12.2134
-4.208e-03,12.2132
-4.207e-03,12.2132
-4.206e-03,12.2131
-4.205e-03,12.213
-4.204e-03,12.213
-4.203e-03,12.2132
-4.202e-03,12.2131
-4.201e-03,12.2132
-4.200e-03,12.2132
-4.199e-03,12.2134
-4.198e-03,12.2135
-4.197e-03,12.2133
-4.196e-03,12.2133
-4.195e-03,12.2134
-4.194e-03,12.2132
-4.193e-03,12.2132
-4.192e-03,12.213
-4.191e-03,12.2132
-4.190e-03,12.2131
-4.189e-03,12.2132
-4.188e-03,12.2131
-4.187e-03,12.2134
-4.186e-03,12.213
-4.185e-03,12.2131
-4.184e-03,12.2131
-4.183e-03,12.213
-4.182e-03,12.213
-4.181e-03,12.213
-4.180e-03,12.213
-4.179e-03,12.213
-4.178e-03,12.2132
-4.177e-03,12.2131
-4.176e-03,12.2132
-4.175e-03,12.2131
-4.174e-03,12.2132
-4.173e-03,12.213
-4.172e-03,12.2128
-4.171e-03,12.213
-4.170e-03,12.213
-4.169e-03,12.2131
-4.168e-03,12.2128
-4.167e-03,12.213
-4.166e-03,12.2128
-4.165e-03,12.2131
-4.164e-03,12.2127
-4.163e-03,12.2129
-4.162e-03,12.2128
-4.161e-03,12.2129
-4.160e-03,12.2127
-4.159e-03,12.2131
-4.158e-03,12.2129
-4.157e-03,12.2129
-4.156e-03,12.213
-4.155e-03,12.2134
-4.154e-03,12.2133
-4.153e-03,12.2134
-4.152e-03,12.2133
-4.151e-03,12.2132
-4.150e-03,12.2131
-4.149e-03,12.2132
-4.148e-03,12.2134
-4.147e-03,12.2134
-4.146e-03,12.2134
-4.145e-03,12.2132
-4.144e-03,12.2136
-4.143e-03,12.2132
-4.142e-03,12.2134
-4.141e-03,12.2133
-4.140e-03,12.2133
-4.139e-03,12.213
-4.138e-03,12.213
-4.137e-03,12.213
-4.136e-03,12.2132
-4.135e-03,12.2129
-4.134e-03,12.213
-4.133e-03,12.213
-4.132e-03,12.2131
-4.131e-03,12.213
-4.130e-03,12.2134
-4.129e-03,12.2134
-4.128e-03,12.2133
-4.127e-03,12.2134
-4.126e-03,12.2133
-4.125e-03,12.2134
-4.124e-03,12.2132
-4.123e-03,12.2132
-4.122e-03,12.2131
-4.121e-03,12.2134
-4.120e-03,12.2132
-4.119e-03,12.2135
-4.118e-03,12.2132
-4.117e-03,12.2133
-4.116e-03,12.2133
-4.115e-03,12.2132
-4.114e-03,12.2133
-4.113e-03,12.2131
-4.112e-03,12.213
-4.111e-03,12.2131
-4.110e-03,12.2132
-4.109e-03,12.2131
-4.108e-03,12.2133
-4.107e-03,12.2133
-4.106e-03,12.2132
-4.105e-03,12.2129
-4.104e-03,12.2133
-4.103e-03,12.2132
-4.102e-03,12.2132
-4.101e-03,12.213
-4.100e-03,12.2131
-4.099e-03,12.2129
-4.098e-03,12.2132
-4.097e-03,12.213
-4.096e-03,12.2132
-4.095e-03,12.2131
-4.094e-03,12.2134
-4.093e-03,12.2132
-4.092e-03,12.2134
-4.091e-03,12.2132
-4.090e-03,12.213
-4.089e-03,12.2134
-4.088e-03,12.2133
-4.087e-03,12.2135
-4.086e-03,12.2132
-4.085e-03,12.2133
-4.084e-03,12.213
-4.083e-03,12.2132
-4.082e-03,12.2132
-4.081e-03,12.2132
-4.080e-03,12.2131
-4.079e-03,12.213
-4.078e-03,12.2129
-4.077e-03,12.2131
-4.076e-03,12.213
-4.075e-03,12.213
-4.074e-03,12.213
-4.073e-03,12.2131
-4.072e-03,12.2129
-4.071e-03,12.2132
-4.070e-03,12.213
-4.069e-03,12.2133
-4.068e-03,12.2133
-4.067e-03,12.2134
-4.066e-03,12.2135
-4.065e-03,12.2134
-4.064e-03,12.2134
-4.063e-03,12.2132
-4.062e-03,12.2134
-4.061e-03,12.2132
-4.060e-03,12.2131
-4.059e-03,12.213
-4.058e-03,12.2129
-4.057e-03,12.2132
-4.056e-03,12.213
-4.055e-03,12.2131
-4.054e-03,12.2132
-4.053e-03,12.213
-4.052e-03,12.2133
-4.051e-03,12.2132
-4.050e-03,12.2132
-4.049e-03,12.2132
-4.048e-03,12.2132
-4.047e-03,12.2132
-4.046e-03,12.2134
-4.045e-03,12.2132
-4.044e-03,12.2132
-4.043e-03,12.2132
-4.042e-03,12.2132
-4.041e-03,12.213
-4.040e-03,12.213
-4.039e-03,12.213
-4.038e-03,12.2131
-4.037e-03,12.2131
-4.036e-03,12.213
-4.035e-03,12.2129
-4.034e-03,12.213
-4.033e-03,12.2132
-4.032e-03,12.2132
-4.031e-03,12.2133
-4.030e-03,12.2132
-4.029e-03,12.2131
-4.028e-03,12.2131
-4.027e-03,12.2131
-4.026e-03,12.2131
-4.025e-03,12.2131
-4.024e-03,12.2131
-4.023e-03,12.213
-4.022e-03,12.213
-4.021e-03,12.2131
-4.020e-03,12.2132
-4.019e-03,12.2132
-4.018e-03,12.2132
-4.017e-03,12.213
-4.016e-03,12.2131
-4.015e-03,12.2131
-4.014e-03,12.2132
-4.013e-03,12.2129
-4.012e-03,12.2133
-4.011e-03,12.2132
-4.010e-03,12.213
-4.009e-03,12.213
-4.008e-03,12.213
-4.007e-03,12.213
-4.006e-03,12.2133
-4.005e-03,12.2131
-4.004e-03,12.2132
-4.003e-03,12.2132
-4.002e-03,12.213
-4.001e-03,12.2131
-4.000e-03,12.2129
-3.999e-03,12.2134
-3.998e-03,12.213
-3.997e-03,12.213
-3.996e-03,12.2131
-3.995e-03,12.2131
-3.994e-03,12.2132
-3.993e-03,12.2133
-3.992e-03,12.2133
-3.991e-03,12.2134
-3.990e-03,12.2133
-3.989e-03,12.2133
-3.988e-03,12.2132
